source airport,source airport id,destination apirport,destination airport id,source city,destination city,airline name,plane model,capacity
LGA,3697,BGR,3463,New York,Bangor,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,BHM,3811,New York,Birmingham,Delta Air Lines,Canadair Regional Jet 900,0
LGA,3697,BHM,3811,New York,Birmingham,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,BNA,3690,New York,Nashville,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,BNA,3690,New York,Nashville,Delta Air Lines,Canadair Regional Jet 900,0
LGA,3697,BOS,3448,New York,Boston,Delta Air Lines,Embraer 175,0
LGA,3697,BTV,3711,New York,Burlington,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,BUF,3820,New York,Buffalo,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,CHO,4015,New York,Charlottesville VA,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,CHS,3806,New York,Charleston,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,CLE,3486,New York,Cleveland,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,CLT,3876,New York,Charlotte,Delta Air Lines,Embraer 175,0
LGA,3697,CLT,3876,New York,Charlotte,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,CMH,3759,New York,Columbus,Delta Air Lines,Embraer 170,0
LGA,3697,CMH,3759,New York,Columbus,Delta Air Lines,Embraer 175,0
LGA,3697,CMH,3759,New York,Columbus,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,CVG,3488,New York,Cincinnati,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,DCA,3520,New York,Washington,Delta Air Lines,Embraer 170,0
LGA,3697,DCA,3520,New York,Washington,Delta Air Lines,Embraer 175,0
LGA,3697,DEN,3751,New York,Denver,Delta Air Lines,Airbus A320,158
LGA,3697,DFW,3670,New York,Dallas-Fort Worth,Delta Air Lines,Embraer 175,0
LGA,3697,DSM,3729,New York,Des Moines,Delta Air Lines,Canadair Regional Jet 900,0
LGA,3697,DTW,3645,New York,Detroit,Delta Air Lines,Airbus A319,132
LGA,3697,DTW,3645,New York,Detroit,Delta Air Lines,McDonnell Douglas MD-88,149
LGA,3697,DTW,3645,New York,Detroit,Delta Air Lines,Boeing 737-800,160
LGA,3697,FLL,3533,New York,Fort Lauderdale,Delta Air Lines,McDonnell Douglas MD-88,149
LGA,3697,FLL,3533,New York,Fort Lauderdale,Delta Air Lines,Boeing 737-800,160
LGA,3697,FLL,3533,New York,Fort Lauderdale,Delta Air Lines,Airbus A319,132
LGA,3697,GRR,3685,New York,Grand Rapids,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,GSO,4008,New York,Greensboro,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,IAH,3550,New York,Houston,Delta Air Lines,Embraer 170,0
LGA,3697,IAH,3550,New York,Houston,Delta Air Lines,Embraer 175,0
LGA,3697,IND,3585,New York,Indianapolis,Delta Air Lines,Embraer 175,0
LGA,3697,IND,3585,New York,Indianapolis,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,JAX,3712,New York,Jacksonville,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,MCI,3458,New York,Kansas City,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,MCI,3458,New York,Kansas City,Delta Air Lines,Embraer 175,0
LGA,3697,MCI,3458,New York,Kansas City,Delta Air Lines,Embraer 170,0
LGA,3697,MCO,3878,New York,Orlando,Delta Air Lines,Airbus A319,132
LGA,3697,MCO,3878,New York,Orlando,Delta Air Lines,McDonnell Douglas MD-88,149
LGA,3697,MCO,3878,New York,Orlando,Delta Air Lines,Boeing 737-800,160
LGA,3697,MEM,3473,New York,Memphis,Delta Air Lines,Canadair Regional Jet 900,0
LGA,3697,MIA,3576,New York,Miami,Delta Air Lines,McDonnell Douglas MD-88,149
LGA,3697,MIA,3576,New York,Miami,Delta Air Lines,Airbus A320,158
LGA,3697,MIA,3576,New York,Miami,Delta Air Lines,Boeing 737-800,160
LGA,3697,MKE,3717,New York,Milwaukee,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,MSN,3459,New York,Madison,Delta Air Lines,Embraer 170,0
LGA,3697,MSP,3858,New York,Minneapolis,Delta Air Lines,Airbus A319,132
LGA,3697,MSP,3858,New York,Minneapolis,Delta Air Lines,Airbus A320,158
LGA,3697,MSP,3858,New York,Minneapolis,Delta Air Lines,McDonnell Douglas MD-88,149
LGA,3697,MSY,3861,New York,New Orleans,Delta Air Lines,Airbus A319,132
LGA,3697,MYR,3515,New York,Myrtle Beach,Delta Air Lines,Embraer 175,0
LGA,3697,OMA,3454,New York,Omaha,Delta Air Lines,Embraer 175,0
LGA,3697,ORD,3830,New York,Chicago,Delta Air Lines,Embraer 175,0
LGA,3697,ORD,3830,New York,Chicago,Delta Air Lines,Embraer 170,0
LGA,3697,ORF,3611,New York,Norfolk,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,PBI,3722,New York,West Palm Beach,Delta Air Lines,Airbus A319,132
LGA,3697,PIT,3570,New York,Pittsburgh,Delta Air Lines,Canadair Regional Jet 900,0
LGA,3697,PIT,3570,New York,Pittsburgh,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,PWM,3862,New York,Portland,Delta Air Lines,McDonnell Douglas MD-88,149
LGA,3697,RDU,3626,New York,Raleigh-durham,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,RIC,3608,New York,Richmond,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,ROC,3622,New York,Rochester,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,ROC,3622,New York,Rochester,Delta Air Lines,Canadair Regional Jet 900,0
LGA,3697,RSW,3793,New York,Fort Myers,Delta Air Lines,Canadair Regional Jet 900,0
LGA,3697,SAV,3613,New York,Savannah,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,SRQ,4067,New York,Sarasota,Delta Air Lines,Airbus A319,132
LGA,3697,STL,3678,New York,St. Louis,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,SYR,3745,New York,Syracuse,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,TPA,3646,New York,Tampa,Delta Air Lines,Airbus A319,132
LGA,3697,TPA,3646,New York,Tampa,Delta Air Lines,McDonnell Douglas MD-88,149
LGA,3697,TPA,3646,New York,Tampa,Delta Air Lines,Airbus A320,158
LGA,3697,YHZ,73,New York,Halifax,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,YUL,146,New York,Montreal,Delta Air Lines,Canadair Regional Jet 700,0
LGA,3697,YYZ,193,New York,Toronto,Delta Air Lines,Boeing 737-600,113
JFK,3797,ARN,737,New York,Stockholm,Norwegian Air Shuttle,Boeing 787-8,231
JFK,3797,BGO,636,New York,Bergen,Norwegian Air Shuttle,Boeing 787-8,231
JFK,3797,CPH,609,New York,Copenhagen,Norwegian Air Shuttle,Boeing 787-8,231
JFK,3797,OSL,644,New York,Oslo,Norwegian Air Shuttle,Boeing 787-8,231
JFK,3797,DUB,599,New York,Dublin,Aer Lingus,Airbus A330,0
JFK,3797,SNN,603,New York,Shannon,Aer Lingus,Boeing 757,0
JFK,3797,DXB,2188,New York,Dubai,Emirates,Airbus A380-800,520
JFK,3797,MXP,1524,New York,Milano,Emirates,Boeing 777-300ER,396
JFK,3797,FRA,340,New York,Frankfurt,Ethiopian Airlines,Boeing 747-400,366
JFK,3797,AUH,2179,New York,Abu Dhabi,Etihad Airways,Boeing 777-300ER,396
JFK,3797,CDG,1382,New York,Paris,Etihad Airways,Boeing 767-300,148
JFK,3797,CDG,1382,New York,Paris,Etihad Airways,Boeing 757,0
JFK,3797,LAS,3877,New York,Las Vegas,Etihad Airways,Boeing 737-800,160
JFK,3797,MSY,3861,New York,New Orleans,Etihad Airways,Embraer 190,0
JFK,3797,MSY,3861,New York,New Orleans,Etihad Airways,Airbus A320,158
LGA,3697,DEN,3751,New York,Denver,Frontier Airlines,Airbus A320,158
LGA,3697,ATL,3682,New York,Atlanta,AirTran Airways,Boeing 717,0
LGA,3697,CAK,4112,New York,Akron,AirTran Airways,Boeing 717,0
